Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo
Random core,583,C04,B02,1,583.0833333,583.0833333,0,0.42,1.22,5.19,0.03,1.05,0.32,30.94,0.1,1282,1.44,0,0,151,10,24,18,17,0,0,0,0,0,9,0,380,13,19,0,0
Random core,583,C04,B02,3,583.25,583.25,0,0.57,1.33,3.93,0.06,1.2,0.35,32.28,0.1,1125,1.67,0,0,101,12,22,13,17,0,0,0,0,0,8,0,346,22,14,0,0
Random core,583,C04,B02,5,583.4166667,583.4166667,0.35,0.52,1.45,2.82,0.03,0.83,0.31,33.37,0.09,621,1.2,0,0,92,8,19,17,197,0,0,0,0,0,8,0,260,11,22,5,0
Random core,583,C04,B02,7,583.5833333,583.5833333,0.72,0.96,6.43,15.37,0.19,2.16,1.78,12.19,0.36,590,3.26,233,196,322,20,66,60,57,21,17,0,0,3,59,0,549,27,119,10,11
Random core,583,C04,B02,9,583.75,583.75,0.47,0.95,5.84,15.96,0.06,1.86,1.68,11.83,0.36,285,3.04,167,101,258,18,49,41,32,11,20,0,0,3,65,0,622,16,123,9,13
Random core,583,C04,B02,11,583.9166667,583.9166667,0.61,1.13,5.98,17.11,0.07,2.51,1.67,11.7,0.31,270,3.65,200,217,284,23,52,36,51,11,40,0,0,3,71,0,591,21,138,8,0
Random core,583,C04,B02,13,584.0833333,584.0833333,0.8,1.21,5.33,16.13,0.13,1.4,1.57,13.86,0.33,321,2.42,189,140,263,14,39,47,323,18,10,0,0,3,64,0,721,17,119,9,0
Random core,583,C04,B02,15,584.25,584.25,0.41,0.99,4.29,14.52,0.12,0.8,1.43,17.8,0.24,297,1.45,0,159,0,10,21,24,20,9,9,0,0,4,59,0,851,20,109,9,0
Random core,583,C04,B02,17,584.4166667,584.4166667,0.45,0.98,4.43,15.41,0.08,0.84,1.67,17.29,0.23,229,1.44,169,174,0,9,21,34,33,11,11,0,0,3,65,0,810,15,118,9,8
Random core,583,C04,B02,19,584.5833333,584.5833333,0.3,1.07,4.73,16.23,0.07,0.91,1.63,15.94,0.26,166,1.64,119,184,61,10,21,32,25,15,14,0,0,5,70,0,882,19,118,10,8
Random core,583,C04,B02,21,584.75,584.75,0,0.96,4.52,15.65,0.03,0.78,1.56,16.79,0.25,172,1.39,145,138,71,9,20,33,23,12,10,0,0,4,68,0,886,21,105,10,8
Random core,583,C04,B02,23,584.9166667,584.9166667,0.32,1.03,4.83,16.07,0.08,0.65,1.67,15.85,0.25,154,1.22,234,155,105,8,21,38,47,12,12,0,0,5,70,0,847,19,118,10,8
Random core,583,C04,B02,27,585.25,585.25,0.36,0.99,5.22,16.5,0.1,0.8,1.71,15.57,0.28,182,1.61,131,160,85,10,22,42,57,9,10,0,0,5,73,0,809,22,113,11,8
Random core,583,C04,B02,29,585.4166667,585.4166667,0.37,1.04,5.24,15.85,0.06,0.7,1.75,15.83,0.28,169,1.42,170,168,81,9,26,46,48,13,9,0,0,4,72,0,791,17,117,10,0
Random core,583,C04,B02,31,585.5833333,585.5833333,0.4,1.17,5.38,15.8,0.05,2.1,1.69,13.51,0.33,197,3.35,0,139,74,21,22,46,40,7,22,0,0,4,75,0,720,19,136,11,9
Random core,583,C04,B02,33,585.75,585.75,0,1.05,4.57,14.15,0.06,0.85,1.38,15.79,0.24,139,1.46,0,127,0,9,18,38,30,10,13,0,0,4,63,0,804,18,110,7,8
Random core,583,C04,B02,35,585.9166667,585.9166667,0,1.01,3.98,13.68,0.02,1.36,1.32,18.59,0.2,161,2.14,171,0,81,14,22,32,41,10,17,0,7,2,57,0,960,11,88,9,0
Random core,583,C04,B02,37,586.0833333,586.0833333,0.33,1.05,4.12,14.19,0.04,0.84,1.34,18.38,0.22,150,1.43,162,119,69,9,19,30,37,8,9,0,0,4,57,0,908,14,98,9,10
Random core,583,C04,B02,39,586.25,586.25,0,0.95,4.33,13.26,0.03,0.85,1.47,18.38,0.22,147,1.4,153,114,0,9,16,32,53,9,9,0,0,3,60,0,848,13,97,9,0
Random core,583,C04,B02,41,586.4166667,586.4166667,0,0.82,3.77,11.99,0.03,0.88,1.22,22.37,0.19,178,1.43,122,109,0,9,14,24,37,11,8,0,0,0,48,0,1000,11,80,6,0
Random core,583,C04,B02,43,586.5833333,586.5833333,0,0.74,3.49,11.4,0.02,0.93,1.18,22.69,0.18,155,1.46,0,128,0,9,17,38,46,9,10,0,0,2,56,0,1038,11,72,5,0
Random core,583,C04,B02,45,586.75,586.75,0,0.67,3.42,11.06,0.03,0.89,1.14,22.69,0.17,177,1.46,0,78,0,9,15,39,35,8,12,0,0,3,48,0,982,10,77,0,0
Random core,583,C04,B02,47,586.9166667,586.9166667,0.35,0.86,3.7,11.62,0.04,0.79,1.27,21.68,0.19,192,1.34,0,109,0,8,16,29,33,8,7,0,0,2,48,0,941,14,92,8,8
Random core,583,C04,B02,49,587.0833333,587.0833333,0,0.8,3.7,11.68,0.03,0.67,1.26,21.74,0.19,177,1.16,194,0,0,7,15,22,32,8,6,0,0,4,52,0,995,14,90,6,0
Random core,583,C04,B02,51,587.25,587.25,0,0.85,3.45,10.85,0.06,0.82,1.18,23.16,0.19,194,1.38,0,0,0,9,16,26,53,8,6,0,0,2,47,0,974,14,82,7,8
Random core,583,C04,B02,53,587.4166667,587.4166667,0,0.79,3.24,10.58,0.27,1.33,1.11,23.24,0.17,174,1.86,0,88,0,12,16,22,40,8,6,0,0,2,41,0,999,13,65,0,10
Random core,583,C04,B02,55,587.5833333,587.5833333,0,0.91,3.46,10.29,0.05,0.65,1.11,23.46,0.16,188,1.13,0,133,0,7,17,22,32,8,7,0,0,3,48,0,972,14,81,6,0
Random core,583,C04,B02,57,587.75,587.75,0,0.84,3.59,10.73,0.03,0.66,1.28,22.86,0.18,206,1.14,0,110,0,7,15,28,51,9,5,0,0,2,45,0,926,8,78,6,0
Random core,583,C04,B02,59,587.9166667,587.9166667,0,0.82,3.23,10.09,0.04,0.56,1.05,23.96,0.16,193,0.98,0,92,0,6,10,27,35,0,6,0,0,0,39,0,981,13,70,6,0
Random core,583,C04,B02,61,588.0833333,588.0833333,0.47,1.2,4.37,11.55,0.03,1.39,1.22,20.3,0.27,238,2.2,0,101,0,14,14,31,65,0,12,0,0,3,52,0,922,13,79,7,13
Random core,583,C04,B02,63,588.25,588.25,0,0.8,4.69,13.48,0.04,0.86,1.61,18.2,0.23,123,1.46,0,216,91,9,30,42,61,14,11,0,0,3,78,0,916,18,91,9,16
Random core,583,C04,B02,65,588.4166667,588.4166667,0,0.8,4.6,13.54,0.08,0.69,1.53,18.8,0.21,113,1.21,177,233,109,7,26,36,73,13,7,0,0,5,72,0,963,18,88,9,17
Random core,583,C04,B02,67,588.5833333,588.5833333,0,0.78,4.32,13.07,0.05,0.85,1.44,18.91,0.22,150,1.38,148,293,98,8,27,41,93,10,6,0,0,4,70,0,939,14,82,9,20
Random core,583,C04,B02,69,588.75,588.75,0,0.88,4.6,13.09,0.08,0.79,1.45,18.47,0.22,143,1.26,132,304,127,7,30,45,54,11,8,0,0,4,76,0,957,16,82,10,20
Random core,583,C04,B02,71,588.9166667,588.9166667,0.31,0.8,4.41,13.19,0.05,0.83,1.44,18.52,0.21,111,1.36,170,265,79,9,30,46,81,7,9,0,0,3,72,0,958,12,84,9,27
Random core,583,C04,B02,75,589.25,589.25,0,0.76,4.04,11.91,0.06,0.66,1.37,21.37,0.19,98,1.12,0,334,73,7,28,34,60,11,9,0,0,4,61,0,1046,16,78,8,15
Random core,583,C04,B02,77,589.4166667,589.4166667,0,0.6,2.51,8.65,0.05,0.68,0.86,25.92,0.14,127,0.99,0,282,0,6,26,39,46,0,6,0,0,2,38,0,1285,10,52,0,25
Random core,583,C04,B02,79,589.5833333,589.5833333,0,0.72,3.32,11.3,0.04,0.66,1.18,23.09,0.16,156,1.28,119,195,68,8,24,30,39,0,7,0,0,3,52,0,1070,15,60,0,21
Random core,583,C04,B02,81,589.75,589.75,0.33,0.7,4.5,13.2,0.05,0.66,1.53,19.19,0.21,138,1.15,0,251,99,7,28,33,221,11,0,0,0,4,68,0,874,12,79,6,17
Random core,583,C04,B02,83,589.9166667,589.9166667,0,0.77,3.81,12.92,0.06,0.64,1.47,20.56,0.17,121,1.04,0,176,0,6,21,36,44,12,0,0,0,3,60,0,1038,7,66,7,16
Random core,583,C04,B02,85,590.0833333,590.0833333,0.31,0.79,4.65,13.88,0.05,0.71,1.61,18.51,0.22,120,1.22,0,234,93,7,25,40,84,11,7,0,0,4,75,0,834,12,87,10,10
Random core,583,C04,B02,87,590.25,590.25,0.35,0.77,4.6,13.59,0.05,0.69,1.52,18.68,0.21,124,1.21,144,251,102,7,24,29,52,13,7,0,0,4,67,0,897,13,86,8,12
Random core,583,C04,B02,89,590.4166667,590.4166667,0,0.67,3.99,13.44,0.04,0.7,1.33,19.22,0.17,109,1.17,126,144,0,7,20,24,60,8,7,0,0,3,60,0,993,12,80,6,12
Random core,583,C04,B02,93,590.75,590.75,0.45,0.94,6.66,16.07,0.07,1.19,2.01,13.8,0.33,187,1.95,153,224,105,11,23,33,88,15,9,0,0,5,84,0,620,20,139,11,19
Random core,583,C04,B02,95,590.9166667,590.9166667,0,0.72,4.78,14.72,0.04,0.66,1.58,17.9,0.21,106,1.16,0,222,111,7,28,36,78,13,5,0,0,5,75,0,865,15,90,11,17
Random core,583,C04,B02,97,591.0833333,591.0833333,0,0.74,4.48,14.06,0.03,0.72,1.48,17.77,0.21,133,1.21,137,211,76,7,24,33,81,13,7,0,0,5,71,0,876,17,85,9,21
Random core,583,C04,B02,99,591.25,591.25,0.32,0.86,5.21,15.41,0.04,0.81,1.8,16.31,0.26,99,1.44,121,322,94,8,27,35,69,13,6,0,8,5,86,0,777,16,97,7,17
Random core,583,C04,B02,101,591.4166667,591.4166667,0,0.8,4.66,14.55,0.04,0.71,1.56,17.68,0.22,130,1.23,0,238,97,7,27,41,102,12,6,0,0,4,72,0,819,14,89,8,16
Random core,583,C04,B02,103,591.5833333,591.5833333,0.42,0.86,4.52,14.31,0.06,0.71,1.51,17.96,0.22,124,1.18,136,257,115,7,28,37,57,12,6,0,0,4,69,0,794,10,81,9,16
Random core,583,C04,B02,105,591.75,591.75,0,0.76,4.46,14.44,0.05,0.74,1.49,17.73,0.22,125,1.21,153,245,130,7,27,35,59,10,7,0,0,3,68,0,796,12,77,0,18
Random core,583,C04,B02,107,591.9166667,591.9166667,0,0.76,4.73,14.88,0.05,0.76,1.69,16.96,0.23,130,1.27,166,291,114,8,28,42,65,12,6,0,0,5,75,0,739,16,85,11,20
Random core,583,C04,B02,109,592.0833333,592.0833333,0,0.74,4.54,14.64,0.04,0.89,1.51,16.88,0.24,122,1.44,121,267,142,8,27,42,59,12,7,0,0,4,73,0,755,14,83,9,19
Random core,583,C04,B02,111,592.25,592.25,0,0.73,4.49,14.42,0.03,0.75,1.49,17.86,0.22,108,1.23,0,284,91,7,27,39,101,9,7,0,0,5,74,0,856,13,82,9,19
Random core,583,C04,B02,113,592.4166667,592.4166667,0,0.75,4.68,14.83,0.05,0.77,1.55,17.38,0.23,109,1.3,0,306,111,8,29,40,71,10,8,0,0,4,74,0,770,16,89,9,27
Random core,583,C04,B02,115,592.5833333,592.5833333,0,0.8,4.82,14.59,0.04,0.86,1.54,16.95,0.22,133,1.37,185,397,115,7,32,36,98,12,10,0,9,5,75,0,792,11,80,6,28
Random core,583,C04,B02,117,592.75,592.75,0,0.69,4.14,13.05,0.03,0.85,1.34,19.29,0.23,137,1.32,163,450,113,8,32,41,79,9,11,0,9,4,61,0,882,12,73,5,30
Random core,583,C04,B02,119,592.9166667,592.9166667,0.44,0.72,3.28,9.74,0.09,1,0.75,24.41,0.17,201,1.43,140,369,0,10,25,30,88,7,8,0,0,2,31,0,925,12,49,0,26
Random core,593,C04,B03,1,593.0833333,593.0833333,0,0.56,2.77,9.46,0.03,0.61,0.85,25.86,0.13,133,0.82,0,259,0,6,30,34,99,0,5,0,0,0,37,0,1078,11,44,0,23
Random core,593,C04,B03,3,593.25,593.25,0,0.7,3.53,12.62,0.04,0.65,1.18,21.59,0.17,128,1.02,0,285,128,6,30,41,68,13,6,0,0,4,55,0,950,12,63,7,19
Random core,593,C04,B03,5,593.4166667,593.4166667,0,0.7,3.13,12.08,0.03,0.63,1.12,22.68,0.15,158,0.96,163,221,110,5,24,29,31,0,6,0,0,3,54,0,1031,9,60,0,16
Random core,593,C04,B03,7,593.5833333,593.5833333,0,0.61,3.12,12.28,0.02,0.6,1.14,22.35,0.16,119,0.89,0,246,115,6,23,32,67,12,0,31,0,2,56,0,1045,8,65,7,17
Random core,593,C04,B03,9,593.75,593.75,0,0.75,3.97,13.35,0.04,0.82,1.29,20.06,0.19,145,1.18,137,284,106,7,28,38,165,10,4,0,0,4,63,0,872,11,70,7,26
Random core,593,C04,B03,11,593.9166667,593.9166667,0.38,0.88,3.74,13.5,0.05,0.66,1.3,20.66,0.18,149,0.99,0,370,106,6,25,32,49,14,5,0,0,5,63,0,881,10,66,7,18
Random core,593,C04,B03,13,594.0833333,594.0833333,0,0.67,2.43,8.13,0.05,0.67,0.72,26.99,0.13,123,0.92,0,427,0,5,29,32,281,9,8,0,0,0,32,0,1141,14,49,0,25
Random core,593,C04,B03,15,594.25,594.25,0,1.55,3.33,11.64,0.06,0.68,0.93,21.99,0.16,162,1.03,117,376,0,6,24,29,98,0,7,0,0,3,46,0,1051,8,57,0,19
Random core,593,C04,B03,17,594.4166667,594.4166667,0,0.74,3.98,12.61,0.03,0.77,1.19,20.67,0.18,125,1.17,0,492,104,7,33,41,65,11,7,0,0,3,59,0,998,11,75,6,28
Random core,593,C04,B03,19,594.5833333,594.5833333,0,0.83,4.09,12.78,0.07,0.82,1.28,20.4,0.2,162,1.19,0,452,111,8,30,42,94,12,8,0,0,4,60,0,1015,9,73,6,25
Random core,593,C04,B03,21,594.75,594.75,0,0.77,4.19,12.91,0.06,0.82,1.3,20.41,0.2,123,1.2,165,451,95,7,31,34,70,9,8,0,0,3,63,0,1027,11,75,5,33
Random core,593,C04,B03,23,594.9166667,594.9166667,0,0.7,4.18,11.27,0.02,0.79,1.28,21.51,0.22,131,1.28,0,478,89,9,31,40,76,9,9,0,0,3,59,0,946,8,71,6,25
Random core,593,C04,B03,25,595.0833333,595.0833333,0,0.38,1.18,5.34,0.04,0.38,0.4,32.62,0.05,290,0.39,0,103,0,2,21,16,30,0,0,0,0,0,15,0,601,0,16,0,0
Random core,593,C04,B03,27,595.25,595.25,0,0.32,0.57,2.14,0,0.28,0.23,35.5,0.04,228,0.27,0,0,0,2,19,0,15,0,0,0,0,2,8,0,402,0,16,0,0
Random core,593,C04,B03,29,595.4166667,595.4166667,0.3,0.47,0.39,1.14,0.03,0.41,0.19,36.52,0.03,208,0.43,0,0,0,3,16,0,30,0,0,0,0,0,0,0,491,0,10,0,0
Random core,593,C04,B03,31,595.5833333,595.5833333,0,0.5,0.52,1.84,0,0.49,0.24,36.24,0.02,196,0.61,0,0,0,4,19,0,24,0,0,0,0,0,0,0,453,0,12,0,0
Random core,593,C04,B03,33,595.75,595.75,0,0.4,1.27,4.63,0.03,0.35,0.34,34.01,0.04,318,0.33,0,124,0,2,16,0,29,0,0,0,0,0,11,0,440,0,15,0,12
Random core,593,C04,B03,35,595.9166667,595.9166667,1.18,0.75,9.07,15.11,0.11,1.63,1.6,10.48,0.41,211,2.43,111,465,84,15,23,43,61,7,23,38,9,4,41,0,468,11,127,0,32
Random core,593,C04,B03,37,596.0833333,596.0833333,0,0.8,3.49,11.79,0.03,0.72,1.09,22.19,0.18,102,1.08,0,427,105,6,30,38,92,14,5,0,0,4,53,0,1001,11,66,6,28
Random core,593,C04,B03,39,596.25,596.25,0.32,1.26,3.34,11.73,0.08,0.82,0.93,22.35,0.16,141,1.14,156,397,69,8,33,44,89,8,9,0,0,2,43,0,1085,13,57,7,22
Random core,593,C04,B03,41,596.4166667,596.4166667,0,0.69,3.37,12.55,0.06,0.7,1.09,21.68,0.17,81,0.97,141,365,102,7,32,38,135,9,5,0,0,2,53,0,1018,9,62,8,16
Random core,593,C04,B03,43,596.5833333,596.5833333,0,0.71,4.15,13.83,0.05,0.95,1.4,19.05,0.2,130,1.35,0,400,132,8,33,49,157,17,12,0,0,3,60,0,849,13,76,8,33
Random core,593,C04,B03,45,596.75,596.75,0,0.71,4.04,13.58,0.05,0.97,1.21,19.52,0.21,148,1.42,0,352,168,9,33,59,73,12,10,0,0,3,54,0,936,14,73,6,27
Random core,593,C04,B03,47,596.9166667,596.9166667,0,0.66,3.94,13.6,0.06,0.79,1.25,19.4,0.21,104,1.15,0,399,134,8,27,42,83,8,8,0,0,3,59,0,931,14,78,10,26
Random core,593,C04,B03,49,597.0833333,597.0833333,0,0.63,3.74,13.3,0.07,0.75,1.2,20.27,0.18,108,1.06,182,426,109,7,31,46,181,11,8,0,0,3,57,0,941,0,63,8,25
Random core,593,C04,B03,51,597.25,597.25,0,0.8,3.24,11.87,0.08,1.02,0.98,21.96,0.16,122,1.3,152,430,89,8,33,40,66,10,7,0,0,2,48,0,1080,13,59,6,28
Random core,593,C04,B03,53,597.4166667,597.4166667,0,0.62,3.5,11.25,0.04,1,0.98,21.73,0.19,108,1.47,0,722,83,10,47,68,219,0,11,0,0,3,55,0,1011,10,67,0,42
Random core,593,C04,B03,57,597.75,597.75,0,0.54,1.83,7.04,0.06,0.63,0.54,28.61,0.1,126,0.86,0,307,0,5,26,26,63,0,7,0,0,0,24,0,1296,11,37,0,22
Random core,593,C04,B03,59,597.9166667,597.9166667,0.37,0.6,2.18,7.72,0.09,0.75,0.61,28.13,0.12,145,1.04,160,289,0,7,29,27,181,0,8,0,0,0,28,0,1194,10,47,0,23
Random core,593,C04,B03,61,598.0833333,598.0833333,0,0.69,3.97,13.84,0.05,0.84,1.21,19.73,0.2,106,1.22,171,296,83,8,32,44,122,13,7,0,0,4,62,0,899,11,73,5,21
Random core,593,C04,B03,63,598.25,598.25,0,0.51,3.82,12.4,0.04,0.64,1.12,16.62,0.18,86,0.9,169,297,80,5,30,37,77,8,6,0,0,3,63,0,796,11,71,0,18
Random core,593,C04,B03,65,598.4166667,598.4166667,0,0.71,4.69,14.77,0.09,0.89,1.47,18.02,0.24,95,1.35,180,432,108,8,33,41,86,11,9,0,0,3,72,0,793,12,88,10,26
Random core,593,C04,B03,67,598.5833333,598.5833333,0,0.75,4.44,14.75,0.09,0.92,1.54,17.44,0.22,103,1.37,134,397,121,8,38,45,173,8,8,0,0,4,72,0,715,11,76,7,25
Random core,593,C04,B03,69,598.75,598.75,0,0.73,4.18,14.03,0.07,1.91,1.4,18.46,0.2,141,2.39,164,364,144,15,33,52,107,10,8,0,7,4,69,0,746,14,71,7,24
Random core,593,C04,B03,71,598.9166667,598.9166667,0.29,0.79,4.72,14.38,0.07,0.89,1.49,17.83,0.22,82,1.36,142,405,117,8,31,48,97,11,9,0,0,5,76,0,832,15,75,11,34
Random core,593,C04,B03,73,599.0833333,599.0833333,0,0.54,3.04,11.07,0.05,0.75,1.03,23.1,0.17,119,1.04,0,312,110,7,27,40,76,9,0,0,0,2,47,14,1039,12,67,7,23
Random core,593,C04,B03,75,599.25,599.25,0.58,0.48,3.24,10.14,0.07,0.74,0.84,23.54,0.17,118,1.07,0,253,0,7,23,28,47,8,5,0,0,0,35,0,958,8,73,0,29
Random core,593,C04,B03,77,599.4166667,599.4166667,0.36,0.53,3.32,9.48,0.05,0.87,0.97,22.94,0.17,147,1.29,132,275,71,8,25,33,58,9,10,0,10,2,40,0,876,10,61,6,28
Random core,593,C04,B03,79,599.5833333,599.5833333,0.39,0.56,3.38,9.11,0.06,0.67,0.97,24.04,0.16,97,1,165,297,90,7,23,42,77,0,7,0,0,3,44,0,921,9,69,0,20
Random core,593,C04,B03,81,599.75,599.75,0,0.26,0.37,1.88,0.02,0.21,0.21,35.93,0.02,450,0.18,0,0,0,1,16,0,11,0,0,0,0,0,0,0,399,0,14,0,0
Random core,593,C04,B03,83,599.9166667,599.9166667,0,0.33,0.39,1.04,0,0.19,0.2,36.66,0.01,494,0.14,0,0,0,1,20,0,16,0,0,0,0,0,0,0,339,9,15,0,0
Random core,593,C04,B03,85,600.0833333,600.0833333,1.31,0.8,12.68,20.84,0.07,1.57,2.75,0.78,0.19,95,2.14,0,147,0,10,8,18,27,19,24,39,0,4,47,0,131,8,180,0,19
Random core,593,C04,B03,87,600.25,600.25,0,0.62,3.96,13.4,0.1,0.82,1.32,19.52,0.2,89,1.22,142,342,160,7,35,52,163,12,8,0,0,4,59,0,808,13,74,9,25
Random core,593,C04,B03,89,600.4166667,600.4166667,0,0.54,4.12,13.91,0.11,0.84,1.41,18.63,0.2,98,1.28,0,314,116,8,28,46,121,12,7,0,0,3,64,0,759,21,94,10,22
Random core,593,C04,B03,91,600.5833333,600.5833333,0.33,0.67,3.87,14.17,0.14,0.92,1.4,19.36,0.18,89,1.24,0,385,119,7,36,48,108,10,7,0,0,4,59,0,774,16,81,9,23
